City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Visakhapatnam,2016-10-23,62.97,103.08,17.85,67.64,46.25,9.58,1.19,26.49,30,7.92,13.84,10.53,109
Patna,2020-06-14,14.44,46.28,19.32,6.91,12.47,16.67,0.45,2.86,20.51,1.24,1.1,0.52,60
Amaravati,2019-08-29,14.98,36.58,4.5,13.97,11.18,15.31,0.47,14.17,29.78,0.12,0.75,0.14,47
Amaravati,2018-11-27,93.95,190.73,19.47,105.22,71.79,3.81,1.81,20.78,39.9,0.11,0.3,0.15,190
Visakhapatnam,2018-09-27,36.81,92.5,16.21,34.54,31.55,9.9,0.54,4.44,17.16,4.46,10.57,4.6,99
Amaravati,2018-03-03,29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,0.05,1.85,0.1,80
Amritsar,2020-04-18,8.8,18.03,21.51,11.43,31.09,12.4,0.8,5.88,43.02,1.32,1.42,2,43
Hyderabad,2019-09-11,18.19,52.44,3.7,16.45,10,10.04,0.35,5.51,15.16,0.09,0.56,0.03,50
Amritsar,2019-12-16,41.03,51.31,12.58,12.41,21.73,5.8,0.81,5.42,24.54,1.74,1.98,1.98,55
Hyderabad,2018-08-25,15.34,55.37,7.06,25.68,18.74,16.07,0.29,7.55,12.26,0.74,5.4,3.26,52
Hyderabad,2017-02-08,83.13,163.13,7.1,51.31,8.72,22.71,0,17.22,45.33,0.01,0.18,0.01,180
Visakhapatnam,2019-05-29,33.95,112.15,11.21,44.94,32.14,1.71,0.85,29.13,19.85,3.07,5.7,1.83,114
Delhi,2020-03-05,31.43,67.5,11.78,32.97,28.54,32.27,0.81,11.32,36.98,1.81,16.39,0.27,112
Delhi,2015-01-11,205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,5.93,10.59,5.36,379
